file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/elastic_logstash/logstash-core/src/test/java/org/logstash/common/BufferedTokenizerTest.java,org.logstash.common.BufferedTokenizerTest,class,4,7,3,4,8,1,0,11,0,0.125,0.0,0.0,8,1,7,0,0,1,8,0,0,0,1,0,0,1,0,0,0,0,16,42,1,0,0,0,0,21,0,11,0,8,0,0,0,0,50,17,0
/tmp/ck-analysis/elastic_logstash/logstash-core/src/main/java/org/logstash/config/ir/compiler/JavaFilterDelegatorExt.java,org.logstash.config.ir.compiler.JavaFilterDelegatorExt,class,20,22,2,20,20,2,0,25,43,0.78571427,0.0,0.0,14,1,2,1,11,0,13,0,0,0,4,1,0,4,0,0,1,0,2,96,12,3,2,0,1,5,2,16,0,17,2,0,1,2,67,1,0
/tmp/ck-analysis/elastic_logstash/tools/benchmark-cli/src/main/java/org/logstash/benchmark/cli/cases/CustomTestCase.java,org.logstash.benchmark.cli.cases.CustomTestCase,class,8,8,0,8,5,1,0,13,0,0.16666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,6,1,1,5,0,0,6,0,2,39,1,0,2,2,0,1,0,10,0,9,2,0,0,0,44,1,0
/tmp/ck-analysis/elastic_logstash/logstash-core/src/main/java/org/logstash/config/ir/compiler/OutputStrategyExt.java,org.logstash.config.ir.compiler.OutputStrategyExt,class,3,3,0,3,1,7,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,17,0
/tmp/ck-analysis/elastic_logstash/logstash-core/src/main/java/org/logstash/execution/ObservedExecution.java,org.logstash.execution.ObservedExecution,class,3,5,2,3,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,11,1,0,0,0,0,0,0,2,0,2,0,0,0,1,12,0,0
/tmp/ck-analysis/elastic_logstash/logstash-core/src/main/java/co/elastic/logstash/api/CounterMetric.java,co.elastic.logstash.api.CounterMetric,interface,0,4,4,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
/tmp/ck-analysis/elastic_logstash/logstash-core/src/main/java/org/logstash/health/Status.java,org.logstash.health.Status,enum,2,18,16,2,5,1,0,3,4,0.625,0.0,0.0,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,0,29,4,0,0,0,0,4,1,2,0,2,1,0,1,0,33,1,0
/tmp/ck-analysis/elastic_logstash/logstash-core/src/main/java/org/logstash/config/ir/compiler/RubyIntegration.java,org.logstash.config.ir.compiler.RubyIntegration$PluginFactory,interface,7,7,0,7,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
/tmp/ck-analysis/elastic_logstash/x-pack/src/test/java/org/logstash/xpack/test/RSpecIntegrationTests.java,org.logstash.xpack.test.RSpecIntegrationTests,class,2,2,0,2,2,2,0,2,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,7,1,0
/tmp/ck-analysis/elastic_logstash/logstash-core/src/main/java/org/logstash/config/ir/imperative/ComposedStatement.java,org.logstash.config.ir.imperative.ComposedStatement,class,6,10,4,6,14,3,2,14,13,0.6666667,0.0,0.0,6,0,5,0,1,0,6,1,0,0,1,0,0,1,0,0,1,0,1,40,9,1,5,0,1,5,2,5,2,7,3,0,1,2,36,1025,0
