file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/dromara_dynamic-tp/common/src/main/java/org/dromara/dynamictp/common/properties/DtpProperties.java,org.dromara.dynamictp.common.properties.DtpProperties$Etcd,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,10,0,0,0,0,0,2,1,4,0,8,0,0,0,0,13,9,0
/tmp/ck-analysis/dromara_dynamic-tp/common/src/main/java/org/dromara/dynamictp/common/plugin/DtpInvocationHandler.java,org.dromara.dynamictp.common.plugin.DtpInvocationHandler,class,2,3,1,2,4,1,0,6,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,17,2,0,0,0,0,0,0,4,0,4,1,0,0,0,17,1,0
/tmp/ck-analysis/dromara_dynamic-tp/core/src/main/java/org/dromara/dynamictp/core/support/adapter/ExecutorAdapter.java,org.dromara.dynamictp.core.support.adapter.ExecutorAdapter$UnsupportedBlockingQueue,innerclass,0,0,0,0,12,3,0,0,66,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,2,0,0,0,0,0,0,0,25,0,0
/tmp/ck-analysis/dromara_dynamic-tp/example/example-huawei-cloud/src/main/java/org/dromara/dynamictp/example/HuaweiCloudExampleApplication.java,org.dromara.dynamictp.example.HuaweiCloudExampleApplication,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/tmp/ck-analysis/dromara_dynamic-tp/core/src/main/java/org/dromara/dynamictp/core/executor/eager/EagerDtpExecutor.java,org.dromara.dynamictp.core.executor.eager.EagerDtpExecutor,class,2,5,3,2,12,4,0,8,15,0.5714286,0.0,0.0,7,0,6,0,1,0,7,0,0,0,1,0,0,1,0,0,1,0,2,50,1,0,1,2,0,1,2,2,0,2,4,0,0,0,64,1,0
/tmp/ck-analysis/dromara_dynamic-tp/test/test-core/src/test/java/org/dromara/dynamictp/test/core/notify/capture/CapturedBlockingQueueTest.java,org.dromara.dynamictp.test.core.notify.capture.CapturedBlockingQueueTest,class,5,5,0,5,4,1,0,17,0,0.0,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0,1,19,0,0,0,0,0,2,7,4,0,4,0,0,0,2,21,1,0
/tmp/ck-analysis/dromara_dynamic-tp/starter/starter-configcenter/starter-zookeeper/src/main/java/org/dromara/dynamictp/starter/zookeeper/autoconfigure/ZkConfigEnvironmentProcessor.java,org.dromara.dynamictp.starter.zookeeper.autoconfigure.ZkConfigEnvironmentProcessor,class,10,11,1,10,5,1,0,11,4,0.5,0.0,0.0,4,0,2,2,0,0,2,0,0,0,1,1,1,0,0,0,1,0,1,23,2,0,0,0,0,1,0,6,0,7,1,0,0,1,48,1,0
/tmp/ck-analysis/dromara_dynamic-tp/core/src/main/java/org/dromara/dynamictp/core/notifier/capture/CapturedExecutor.java,org.dromara.dynamictp.core.notifier.capture.CapturedExecutor,class,2,4,2,2,24,1,0,16,210,0.8942308,0.0,0.0,24,0,24,0,0,0,24,0,0,0,13,0,0,13,0,0,13,0,0,99,17,0,0,0,0,0,0,13,0,13,0,0,0,0,81,17,0
/tmp/ck-analysis/dromara_dynamic-tp/core/src/main/java/org/dromara/dynamictp/core/executor/DtpExecutor.java,org.dromara.dynamictp.core.executor.DtpExecutor,class,11,34,23,11,48,3,4,28,995,0.9538045,0.0,0.0,46,0,43,0,3,0,46,0,0,0,16,0,0,13,3,0,0,0,12,174,19,0,0,0,0,0,3,29,0,17,1,0,0,0,146,1,0
/tmp/ck-analysis/dromara_dynamic-tp/core/src/main/java/org/dromara/dynamictp/core/timer/AbstractTimeoutTimerTask.java,org.dromara.dynamictp.core.timer.AbstractTimeoutTimerTask,class,7,10,3,7,6,1,2,6,2,0.5,0.0,0.0,4,0,1,0,3,0,4,1,0,0,2,0,0,0,2,0,2,0,1,26,2,0,0,0,0,0,0,8,0,6,1,0,0,0,29,1025,0
